# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-03-15 at 13:24:57
#
# Requested input R.A. = 167.91101560769232 degrees
# Requested input Dec. = -10.290077915384616 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2470000.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 368 6 1 ZTF_r 445271442115 0 2.617 222.142 9.09633 25.5901 1.67767e-05 0.0352174 0.0920882 2.93278e-05 495 30. 0.060345 0.056718 19.1842 25.5901 1 2458199.7714468 368120221 -25.8439756545995 45.6915502828031 -0.629184812237413 0.993026470752576 -31.8119131452896 73.8695527739907 -0.433550319555948 1.05914497014092 0.801109751379037 18.9089998245239 0.0179999992251396 0.529999971389771 0.0020000000949949 2458165.894526 2458450.041597 0
 1 368 6 1 ZTF_r 445313052115 0 2.0836 157.454 9.35101 25.2226 1.6961e-05 0.0354426 0.0964822 2.98252e-05 497 30. 0.053168 0.050453 18.94 25.2226 1 2458199.8130556 368120221 14.6039130776818 42.1678322997472 0.385250103822598 0.956716956816705 45.2366603534223 79.0295142083977 0.576257266918016 1.0352789257292 0.801109751379037 18.9089998245239 0.0179999992251396 0.529999971389771 0.0020000000949949 2458165.894526 2458450.041597 0
 2 368 6 1 ZTF_g 450278692115 0 3.3651 206.024 11.7925 26.2191 3.16621e-05 0.0415301 -0.0806093 6.73438e-05 377 30. 0.069172 0.064727 19.2688 26.2191 1 2458204.7786921 368120121 30.6953616846387 68.7402490760157 0.496725498982145 0.956697503788035 -21.8256945506231 97.9368817279503 -0.224355640811566 1.063637765464 0.88531364490634 19.2199999809265 0.025000000372529 0.85699999332428 0 2458204.778692 2458468.957813 0
 3 368 6 1 ZTF_g 450295092115 0 3.7344 206.645 11.7768 26.2322 3.01789e-05 0.0370647 -0.0913268 6.71483e-05 333 30. 0.074478 0.069358 19.1872 26.2322 1 2458204.7950926 368120121 -27.4481607321277 81.7275660729466 -0.373593648305533 1.04751418363795 -75.5747787976387 107.620123515061 -0.706966102583787 1.1076366311548 0.88531364490634 19.2199999809265 0.025000000372529 0.85699999332428 0 2458204.778692 2458468.957813 0
 4 368 6 1 ZTF_g 454259172115 49 2.0081 50.0151 50.6755 24.7971 0.0114449 0.0872013 0.0371247 0.0361598 21 30. 0.063957 0.073673 16.6895 24.7971 1 2458208.7591782 368120121 32.629971546212 244.482474059731 0.148464891207346 1.01915399368485 -128.019762567155 442.795961677792 -0.291064043459893 1.06545233567635 0.88531364490634 19.2199999809265 0.025000000372529 0.85699999332428 0 2458204.778692 2458468.957813 0
 5 368 6 1 ZTF_g 454278442115 1 2.938 183.832 33.7323 26.0189 0.000217164 0.0540064 -0.0102705 0.000624213 139 30. 0.063675 0.085036 18.0528 26.0189 1 2458208.7784491 368120121 -44.5329608810098 187.236296144181 -0.264573492858603 1.04368179374926 -668.304675037318 284.371548672101 -2.36593902806477 1.07606795218672 0.88531364490634 19.2199999809265 0.025000000372529 0.85699999332428 0 2458204.778692 2458468.957813 0
 6 368 6 1 ZTF_r 461242122115 0 2.1879 80.1611 10.765 24.4745 0.000148303 0.0800941 0.0785909 0.000264824 307 30. 0.061182 0.061694 17.9883 24.4745 1 2458215.7421296 368120221 -0.663955739449322 53.3067129039762 -0.0138551753784749 1.06296965314731 78.4865199671559 91.8064066461377 0.860671211099771 1.06145392349502 0.801109751379037 18.9089998245239 0.0179999992251396 0.529999971389771 0.0020000000949949 2458165.894526 2458450.041597 0
 7 368 6 1 ZTF_g 461261312115 0 4.3115 89.5131 6.57583 25.2618 7.78357e-05 0.0483603 0.0200924 0.000185434 218 30. 0.075795 0.081824 18.7456 25.2618 1 2458215.7613194 368120121 -23.9231509403343 54.3454423254139 -0.489677392170662 1.02058454649642 -38.8107997109402 66.3481328294361 -0.588896642810034 1.24455765245184 0.88531364490634 19.2199999809265 0.025000000372529 0.85699999332428 0 2458204.778692 2458468.957813 0
 8 368 6 1 ZTF_r 464216742115 0 2.2024 368.654 6.87432 26.1289 5.8804e-06 0.0209829 0.102292 1.04812e-05 506 30. 0.054329 0.049721 20.2296 26.1289 1 2458218.7167477 368120221 0.241297393975443 31.1111508779259 0.00862762689484398 0.947450478011973 -42.8333473561678 55.9671357694215 -0.770484889430139 1.04548168029247 0.801109751379037 18.9089998245239 0.0179999992251396 0.529999971389771 0.0020000000949949 2458165.894526 2458450.041597 0
