# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-03-16 at 07:35:22
#
# Requested input R.A. = 249.78274244375 degrees
# Requested input Dec. = 49.2787231 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2470000.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 762 12 0 ZTF_r 444427994415 0 1.9152 190.496 6.14537 26.3192 4.2582e-06 0.0218605 0.110288 7.7158e-06 689 30. 0.03974 0.041542 20.542 26.3192 2 2458198.9279977 762120244 17.2768067081569 25.7943617456076 0.745063845023101 1.04988476967736 -13.1398277889514 47.6169246481987 -0.277807216296342 1.04872488705744 1.20049179871606 21.5230001449585 0.0989999994635582 0.990000009536743 0.166999995708466 2458186.910741 2458219.000845 0
 1 762 12 0 ZTF_r 444448404415 0 1.7126 191.685 6.19593 26.3178 5.9739e-06 0.025893 0.108765 1.08528e-05 688 30. 0.041975 0.044429 20.6519 26.3178 1 2458198.9484028 762120244 68.6626642877682 25.9585149328114 2.94235865292295 0.927468114523772 68.7898870515697 48.8767051165966 1.41689565066787 1.04934791546315 1.20049179871606 21.5230001449585 0.0989999994635582 0.990000009536743 0.166999995708466 2458186.910741 2458219.000845 0
 2 762 12 0 ZTF_r 444449374415 0 1.7516 190.981 6.23776 26.3142 5.7726e-06 0.0254377 0.108274 1.04926e-05 688 30. 0.039652 0.04131 20.631 26.3142 2 2458198.949375 762120244 4.33154695947739 25.3094412480463 0.190377347136896 1.04869259623101 0.233979517215384 48.0926882805654 0.00489794584473269 1.04862031761199 1.20049179871606 21.5230001449585 0.0989999994635582 0.990000009536743 0.166999995708466 2458186.910741 2458219.000845 0
 3 762 12 0 ZTF_r 444468954415 0 1.8693 189.39 6.20624 26.3104 4.9172e-06 0.0236756 0.114419 8.92162e-06 691 30. 0.040936 0.043367 20.5834 26.3104 1 2458198.9689583 762120244 -15.3972478650137 25.5580382222879 -0.670147477040397 1.10785540366778 -13.3323603522274 47.8100020839338 -0.280739468337865 1.04917496368699 1.20049179871606 21.5230001449585 0.0989999994635582 0.990000009536743 0.166999995708466 2458186.910741 2458219.000845 0
 4 762 12 0 ZTF_r 444469914415 0 1.7252 192.811 6.12782 26.3229 5.391e-06 0.0246898 0.109723 9.75554e-06 689 30. 0.039497 0.042751 20.6638 26.3229 2 2458198.969919 762120244 0.726604974603113 24.7683552980996 0.0326329247155188 0.996216188949313 -6.31061162795614 46.9999305484474 -0.135172837198177 1.04937137518377 1.20049179871606 21.5230001449585 0.0989999994635582 0.990000009536743 0.166999995708466 2458186.910741 2458219.000845 0
 5 762 12 0 ZTF_r 444486214415 0 1.5008 181.439 6.41204 26.2432 6.749e-06 0.0277871 0.114693 1.21312e-05 693 30. 0.052116 0.048369 20.6168 26.2432 2 2458198.9862153 762120244 -66.6370196225679 27.967029561801 -2.65047690531805 1.0154841828028 -132.040905567763 51.9767354367634 -2.55749437795013 1.05696403846389 1.20049179871606 21.5230001449585 0.0989999994635582 0.990000009536743 0.166999995708466 2458186.910741 2458219.000845 0
 6 762 12 0 ZTF_r 444511294415 0 1.6082 189.251 6.11847 26.2996 6.5348e-06 0.0272306 0.115767 1.1768e-05 691 30. 0.04457 0.043046 20.6913 26.2996 2 2458199.0112963 762120244 -20.2593339490519 22.3975572289632 -1.00618840751364 1.16986543574988 -41.7731709634467 42.2903864948923 -0.994422590069739 1.05207954122928 1.20049179871606 21.5230001449585 0.0989999994635582 0.990000009536743 0.166999995708466 2458186.910741 2458219.000845 0
 7 762 12 0 ZTF_g 449412264415 0 2.2225 138.17 6.65118 26.3036 8.2942e-06 0.0303099 -0.0513621 1.5578e-05 679 30. 0.04607 0.045731 20.4967 26.3036 2 2458203.9122685 762120144 -13.8263821779366 29.3673598271388 -0.523719149255801 0.983778214916811 4.29982066894009 49.5413288362706 0.0873771517684031 1.08067402158199 2.16758465415769 22.1029998779297 0.164000004529953 0.916999995708466 -0.0230000000447035 2458167.012384 2458206.023137 0
 8 762 12 0 ZTF_g 450413924415 0 3.1149 138.058 8.60947 26.3288 1.42443e-05 0.0373359 -0.0830066 3.09523e-05 614 30. 0.065403 0.055629 19.8119 26.3288 2 2458204.9139236 762120144 -25.6398599419443 48.6622950214865 -0.586108287426857 1.05120983481211 -24.5990510718192 71.681748832748 -0.345481625369864 1.07184411622136 2.16758465415769 22.1029998779297 0.164000004529953 0.916999995708466 -0.0230000000447035 2458167.012384 2458206.023137 0
