# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-03-16 at 05:46:19
#
# Requested input R.A. = 266.01834437692304 degrees
# Requested input Dec. = -27.70484141538461 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2470000.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 281 2 2 ZTF_r 492417110615 0 3.2387 345.58 12.309 26.2149 0.000204373 0.0495026 0.0707681 0.000137925 474 30. 0.228472 0.219721 19.5183 26.2149 1 2458246.9171181 281120206 798.008235747974 61.2321308302813 14.4971556490257 1.15148747110562 720.461014616979 85.8708445925092 8.44656139629206 1.12136508498224 0.111911485395579 19.836999797821 0.0399999991059303 0.212999999523163 -0.0130000002682209 2458246.917118 2458607.981667 0
 1 281 2 2 ZTF_r 493438400615 0 2.6699 365.683 15.8613 26.1975 0.000172922 0.0441705 0.0856782 0.000115315 472 30. 0.200237 0.198305 19.9799 26.1975 1 2458247.9384028 281120206 692.902339954867 41.2974577720336 18.6639478065167 1.0975005236061 692.370563131349 63.1028994769646 11.0459855963348 1.08858574973207 0.111911485395579 19.836999797821 0.0399999991059303 0.212999999523163 -0.0130000002682209 2458246.917118 2458607.981667 0
 2 281 2 2 ZTF_r 495487480615 0 4.4252 319.556 16.221 26.0853 0.000400996 0.0658628 0.052575 0.000274021 391 30. 0.250629 0.254997 19.044 26.0853 1 2458249.9874884 281120206 479.724205433565 79.3905410795642 6.72167749799724 1.06424115675616 459.550555091083 97.8621115110412 4.72752577454476 1.2012136820755 0.111911485395579 19.836999797821 0.0399999991059303 0.212999999523163 -0.0130000002682209 2458246.917118 2458607.981667 0
 3 281 2 2 ZTF_r 502480460615 0 3.6488 341.862 16.8619 26.1323 0.000290824 0.0554653 0.053173 0.000194783 458 30. 0.223659 0.239656 19.191 26.1323 1 2458256.980463 281120206 467.380806054274 63.6849272403756 8.16373722867662 1.09905878332257 361.091608781691 87.9736393252395 4.13218759994978 1.09173275541887 0.111911485395579 19.836999797821 0.0399999991059303 0.212999999523163 -0.0130000002682209 2458246.917118 2458607.981667 0
 4 281 2 2 ZTF_r 503438910615 0 2.2568 346.392 14.4313 26.143 0.000188806 0.0451043 0.1047 0.000125114 464 30. 0.198609 0.199718 20.4509 26.143 1 2458257.938912 281120206 391.672871813582 24.9424163687269 17.4678626624312 1.35889121041889 244.111001762995 38.6686895132292 6.35540294999385 1.0728131882191 0.111911485395579 19.836999797821 0.0399999991059303 0.212999999523163 -0.0130000002682209 2458246.917118 2458607.981667 0
 5 281 2 2 ZTF_r 519389610615 0 2.3128 374.087 19.7607 26.2461 0.000130478 0.0379837 0.0527806 8.5543e-05 461 30. 0.151443 0.163794 19.9777 26.2461 1 2458273.8896181 281120206 -39.3086084799511 36.9411805426917 -1.18367289007289 1.18959234916823 -44.5705849239347 62.681371775211 -0.715854951909448 1.07492393999353 0.111911485395579 19.836999797821 0.0399999991059303 0.212999999523163 -0.0130000002682209 2458246.917118 2458607.981667 0
 6 281 2 2 ZTF_g 519445820615 0 3.1743 181.793 13.4886 25.9637 0.000465419 0.0496127 -0.00229938 0.000381217 175 30. 0.080573 0.099118 19.0961 25.9637 1 2458273.9458218 281120106 -55.6407269586897 72.0358758352443 -0.859208877872303 0.894507640349773 -141.294699784805 107.257254608473 -1.32621637796421 1.06483704916772 null null null null null 2458273.945822 2458608.897974 57
 7 281 2 2 ZTF_g 520377510615 0 2.4303 155.462 10.6705 25.8503 0.000363569 0.0499199 -0.04333 0.000273884 253 30. 0.049891 0.078452 19.5753 25.8503 1 2458274.8775116 281120106 -52.3341350754689 38.2078158162217 -1.52365850603724 1.01303357206311 39.0402933085454 64.964991611509 0.604990949051324 1.04800166765516 null null null null null 2458273.945822 2458608.897974 57
 8 281 2 2 ZTF_g 522375980615 0 2.9668 193.763 7.35771 26.1499 0.000252008 0.0474447 -0.121101 0.000181302 384 30. 0.066777 0.092075 20.05 26.1499 1 2458276.8759838 281120106 15.7577113370318 30.2044299252219 0.580333041788283 1.01509031529128 65.6031496852857 47.0200196527228 1.40461427197772 1.05631826422544 null null null null null 2458273.945822 2458608.897974 57
 9 281 2 2 ZTF_r 524313690615 0 2.617 356.745 14.4442 26.2187 0.000237541 0.0516322 0.0807769 0.000158717 472 30. 0.195137 0.214914 19.9858 26.2187 1 2458278.8136921 281120206 -128.514505368485 36.926780471909 -3.87137735664007 0.998641142959886 -105.23829752646 61.5128342899015 -1.72235737042879 1.07152241077587 0.111911485395579 19.836999797821 0.0399999991059303 0.212999999523163 -0.0130000002682209 2458246.917118 2458607.981667 0
 10 281 2 2 ZTF_g 524355410615 0 2.4589 198.725 7.31745 26.1389 0.000184333 0.0445715 -0.0878455 0.000125269 453 30. 0.055518 0.087625 20.4056 26.1389 1 2458278.8554167 281120106 6.83735620279246 23.8163615852455 0.319350493479566 1.01410784652173 73.5593896845644 40.3178329232079 1.8367757152864 1.04379260901675 null null null null null 2458273.945822 2458608.897974 57
